POSTCODE,Consumption (kWh)
BR1 2TH,73632.0
BR1 2TN,116802.4
BR1 2TP,132486.1
BR1 2TQ,43395.7
BR1 2TS,46247.8
BR1 2TT,74258.5
BR1 2TU,39909.6
BR1 2TY,83106.3
BR1 2TZ,44174.5
BR1 2UA,164300.3
BR1 2UB,177666.8
BR1 2UF,67276.9
BR1 2WA,116001.9
BR1 2WB,17136.2
BR1 2WE,73053.3
BR1 2WF,59668.7
BR1 2WG,24744.8
BR1 2WH,57230.1
BR1 2WL,24391.6
BR1 2WP,17969.4
BR1 2WQ,176761.8
BR1 2WR,29807.1
BR1 2XD,58822.3
BR1 3AA,112849.7
BR1 3AB,40082.6
BR1 3AD,144000.9
BR1 3AF,23038.3
BR1 3AG,76804.6
BR1 3AH,106801.0
BR1 3AJ,75986.0
BR1 3AL,134406.2
BR1 3AN,50876.3
BR1 3AQ,78013.5
BR1 3AR,188842.1
BR1 3AS,68701.9
BR1 3AT,28962.9
BR1 3AU,36736.9
BR1 3AX,124663.6
BR1 3AY,22826.3
BR1 3BA,126414.6
BR1 3BD,121594.1
BR1 3BE,137662.9
BR1 3BF,104664.7
BR1 3BH,64887.8
BR1 3BL,143913.0
BR1 3BN,74214.7
BR1 3BP,92878.6
BR1 3BS,45772.7
BR1 3BT,149542.6
BR1 3BU,106735.3
BR1 3BW,48693.0
BR1 3BX,74974.9
BR1 3BY,55411.6
BR1 3BZ,98920.3
BR1 3DB,66003.1
BR1 3DD,44984.9
BR1 3DE,132324.5
BR1 3DF,109731.8
BR1 3DG,105439.6
BR1 3DH,194814.7
BR1 3DJ,109852.2
BR1 3DL,151151.6
BR1 3DN,89752.5
BR1 3DP,79948.8
BR1 3DQ,114854.6
BR1 3DR,73951.2
BR1 3DS,44840.3
BR1 3DT,120041.1
BR1 3DU,136606.26667
BR1 3DW,105380.9
BR1 3DX,132741.4
BR1 3DY,43242.8
BR1 3EA,136005.0
BR1 3EH,42259.3
BR1 3EJ,164041.1
BR1 3EL,154292.2
BR1 3EN,121082.3
BR1 3EP,127555.8
BR1 3ER,187264.4
BR1 3ES,133775.4
BR1 3ET,207631.0
BR1 3EU,134034.7
BR1 3EW,65877.5
BR1 3EX,147647.1
BR1 3EZ,110493.1
BR1 3FB,49369.5
BR1 3FH,183412.6
BR1 3FZ,64605.6
BR1 3GP,185482.5
BR1 3HA,87074.5
BR1 3HB,125183.9
BR1 3HJ,89268.3
BR1 3HN,67486.2
BR1 3HP,219699.5
BR1 3HQ,20191.5
BR1 3HR,60282.5
BR1 3HS,57195.9
BR1 3HT,91396.6
BR1 3HW,89637.7
BR1 3HX,128609.2
BR1 3HY,104552.5
BR1 3HZ,93878.9
BR1 3JA,53540.6
BR1 3JB,64989.6
BR1 3JD,69797.1
BR1 3JE,198683.8
BR1 3JF,78442.0
BR1 3JG,64912.7
BR1 3JH,36695.3
BR1 3JJ,123714.8
BR1 3JL,181377.7
BR1 3JN,164363.7
BR1 3JP,182088.9
BR1 3JR,159924.0
BR1 3JS,74027.1
BR1 3JT,134185.4
BR1 3JU,64527.0
BR1 3JX,111257.6
BR1 3JZ,38053.7
BR1 3LA,84469.0
BR1 3LD,33315.9
BR1 3LE,53963.8
BR1 3LF,81220.0
BR1 3LG,94911.9
BR1 3LH,58401.8
BR1 3LN,79372.8
BR1 3LP,43835.6
BR1 3LQ,15655.8
BR1 3LR,54045.5
BR1 3LS,78210.8
BR1 3LT,52901.4
BR1 3LU,254962.0
BR1 3LW,143938.8
BR1 3LX,245997.1
BR1 3LY,33861.7
BR1 3LZ,117455.2
BR1 3NA,68175.7
BR1 3ND,275614.1
BR1 3NG,86606.3
BR1 3NH,59823.4
BR1 3NJ,24255.9
BR1 3NL,23200.0
BR1 3NP,31296.6
BR1 3NQ,110129.4
BR1 3NS,43546.1
BR1 3NT,177748.8
BR1 3NU,69631.2
BR1 3NY,34314.3
BR1 3PA,17830.0
BR1 3PB,204245.2
